project_title,project_description,project_skills,project_budget,project_id,project_DOR,project_deadline
Create a Data Analysis Platform,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $107751.,"['Data Analysis', 'Machine Learning']",360000,PLCS0133,2021-09-24,2021-06-03
Develop a Machine Learning Tool,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $228917.,"['Machine Learning', 'Web Development']",99500,PLCS0134,2021-08-20,2021-03-18
Develop a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $283149.,"['UI/UX Design', 'C++ Programming']",343000,PLCS0135,2022-07-01,2021-04-28
Create a Data Analysis Project,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $155353.,['Data Analysis'],362500,PLCS0136,2022-11-21,2021-06-01
Implement a C++ Programming Tool,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $180657.,"['C++ Programming', 'Data Analysis']",338000,PLCS0137,2021-11-25,2021-05-12
Develop a Java Programming App,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $211836.,"['Java Programming', 'C++ Programming']",311500,PLCS0138,2021-12-31,2021-06-24
Implement a Web Development Platform,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 3 months of work and a budget of $30286.,"['Web Development', 'Data Analysis']",212000,PLCS0139,2021-03-17,2021-02-07
Code a Web Development App,This project involves Web Development and requires a team of 2 developers proficient in Web Development. The project will involve 6 months of work and a budget of $318834.,['Web Development'],326500,PLCS0140,2022-07-27,2021-04-21
Design a Data Analysis Tool,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $54710.,"['Data Analysis', 'UI/UX Design']",111500,PLCS0141,2022-03-12,2021-06-01
Build a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $91682.,['UI/UX Design'],336000,PLCS0142,2021-09-14,2021-03-03
Design a Java Programming Platform,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $54237.,['Java Programming'],281500,PLCS0143,2021-01-05,2021-02-18
Develop a C++ Programming Tool,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $280423.,"['C++ Programming', 'Web Development']",365000,PLCS0144,2022-07-31,2021-06-14
Implement a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $115201.,['Android Mobile App Programming'],323500,PLCS0145,2022-02-04,2021-06-26
Develop a C++ Programming Tool,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $179378.,['C++ Programming'],369000,PLCS0146,2022-01-05,2021-06-11
Implement a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $181264.,"['Android Mobile App Programming', 'UI/UX Design']",118500,PLCS0147,2022-03-05,2021-05-10
Build a C++ Programming Tool,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $265374.,['C++ Programming'],312000,PLCS0148,2022-09-30,2021-03-23
Build a Data Analysis App,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $97722.,['Data Analysis'],216000,PLCS0149,2022-03-22,2021-06-12
Design a C++ Programming Tool,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $99117.,"['C++ Programming', 'Machine Learning']",55500,PLCS0150,2022-02-28,2021-04-07
Design a Machine Learning Tool,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $66614.,['Machine Learning'],286500,PLCS0151,2021-03-17,2021-05-23
Implement a UI/UX Design System,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $243350.,['UI/UX Design'],75000,PLCS0152,2022-10-17,2021-06-09
Develop a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $39343.,['Android Mobile App Programming'],140500,PLCS0153,2021-03-12,2021-06-20
Design a C++ Programming System,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $79876.,['C++ Programming'],46500,PLCS0154,2021-06-12,2021-02-24
Develop a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $260814.,['Android Mobile App Programming'],308500,PLCS0155,2021-04-23,2021-04-27
Implement a UI/UX Design System,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $159814.,"['UI/UX Design', 'Java Programming']",358000,PLCS0156,2022-07-31,2021-02-05
Implement a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $233083.,['Android Mobile App Programming'],225500,PLCS0157,2022-08-03,2021-05-03
Implement a C++ Programming System,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $201274.,['C++ Programming'],332000,PLCS0158,2021-06-13,2021-02-20
Build a Web Development Project,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 3 months of work and a budget of $390327.,"['Web Development', 'Data Analysis']",191000,PLCS0159,2022-01-22,2021-06-02
Code a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $223967.,['Android Mobile App Programming'],195000,PLCS0160,2021-04-26,2021-03-23
